z k ranker order qthresh algo qid qlen latency docs_scored postings_scored heap_pushes full_sorts partial_sorts bm_skips doc_decodes freq_decodes
counters 10 original random none wand 1037798 3 841 3134 5403 3134 3135 47296 0 2709 1596
counters 10 original random none wand 104861 4 1296 1276 3145 1276 1277 66203 0 2558 1198
counters 10 original random none wand 1063750 5 2964 1999 4188 1999 2000 158920 0 4971 1484
counters 10 original random none wand 1103812 5 2857 1531 3781 1531 1532 154324 0 9109 1761
counters 10 original random none wand 1106007 2 91 1010 1052 1010 1011 4330 0 800 64
counters 10 original random none wand 1110199 4 383 829 1261 829 830 18473 0 1303 311
counters 10 original random none wand 1112341 5 7326 4149 10606 4149 4150 377558 0 9990 5071
counters 10 original random none wand 1113437 4 1508 2924 5032 2924 2925 88956 0 3818 1575
counters 10 original random none wand 1114646 3 601 2368 3543 2368 2369 38753 0 3816 1181
counters 10 original random none wand 1114819 5 2559 1151 2726 1151 1152 132322 0 4563 1122
counters 10 original random none wand 1115776 4 292 1071 1395 1071 1072 11568 0 1985 331
counters 10 original random none wand 1117099 3 1030 1723 2980 1723 1724 47343 0 5662 1175
counters 10 original random none wand 1121402 5 644 1427 2641 1427 1428 29407 0 3457 752
counters 10 original random none wand 1121709 3 3502 7195 14234 7195 7196 217378 0 6421 3906
counters 10 original random none wand 1124210 2 225 26708 26731 26708 26709 121 0 328 231
counters 10 original random none wand 1129237 5 5103 1986 5076 1986 1987 224684 0 7324 2286
counters 10 original random none wand 1133167 3 335 925 1375 925 926 15163 0 2410 407
counters 10 original random none wand 130510 3 107 546 753 546 547 6277 0 641 194
counters 10 original random none wand 131843 2 905 48792 48795 48792 48793 15 0 398 384
counters 10 original random none wand 146187 5 513 1832 3537 1832 1833 27446 0 2125 513
counters 10 original random none wand 148538 4 329 791 1655 791 792 8422 0 2995 291
counters 10 original random none wand 156493 3 230 900 1474 900 901 7955 0 2006 451
counters 10 original random none wand 168216 5 118 650 1197 650 651 3794 0 730 287
counters 10 original random none wand 182539 3 388 1810 3027 1810 1811 26662 0 1084 535
counters 10 original random none wand 183378 3 379 1370 2099 1370 1371 26837 0 1756 684
counters 10 original random none wand 19335 3 294 997 1315 997 998 16191 0 1674 305
counters 10 original random none wand 207786 5 3546 1483 3370 1483 1484 174725 0 9176 1637
counters 10 original random none wand 264014 5 2079 804 2071 804 805 122141 0 6055 968
counters 10 original random none wand 359349 4 240 1622 2860 1622 1623 12163 0 1172 272
counters 10 original random none wand 405717 4 215 597 948 597 598 13015 0 656 239
counters 10 original random none wand 443396 3 824 2857 4843 2857 2858 53155 0 2492 833
counters 10 original random none wand 451602 4 937 1171 1986 1171 1172 49609 0 1706 495
counters 10 original random none wand 47923 5 298 491 957 491 492 11771 0 1255 196
counters 10 original random none wand 489204 4 992 1740 4659 1740 1741 37786 0 5703 2033
counters 10 original random none wand 490595 3 228 1529 1908 1529 1530 13173 0 1073 338
counters 10 original random none wand 527433 5 319 707 1520 707 708 8258 0 2729 392
counters 10 original random none wand 573724 4 5653 2133 5157 2133 2134 294836 0 7362 2573
counters 10 original random none wand 833860 5 4882 2633 6746 2633 2634 274043 0 9775 2996
counters 10 original random none wand 855410 3 10409 107961 215829 107961 107962 736600 0 16454 16453
counters 10 original random none wand 87181 4 135 612 1214 612 613 4972 0 863 371
counters 10 original random none wand 87452 3 526 1488 2506 1488 1489 23179 0 3468 954
counters 10 original random none wand 915593 8 1921 1294 4422 1294 1295 66898 0 4723 1601
counters 10 original random none wand 962179 4 326 878 1586 878 879 11754 0 2249 380
counters 10 original random none block_max_wand 1037798 3 890 1270 1469 1270 1271 34365 7944 1883 319
counters 10 original random none block_max_wand 104861 4 1410 741 1183 741 742 52974 14256 1794 507
counters 10 original random none block_max_wand 1063750 5 3940 663 926 663 664 142786 57436 5029 336
counters 10 original random none block_max_wand 1103812 5 4255 720 1111 720 721 151263 20507 7797 422
counters 10 original random none block_max_wand 1106007 2 128 577 614 577 578 4511 181 800 58
counters 10 original random none block_max_wand 1110199 4 562 527 700 527 528 17181 1751 1004 135
counters 10 original random none block_max_wand 1112341 5 5452 1410 1937 1410 1411 185939 95773 8516 1009
counters 10 original random none block_max_wand 1113437 4 2079 1070 1277 1070 1071 85526 20086 4023 412
